Num,Name,_1s,_1p,_1d,_1f,Period
1,H,1,0,0,0,1
2,He,0,0,0,0,1
3,Li,1,6,0,0,2
4,Be,0,6,0,0,2
5,B,0,5,0,0,2
6,C,0,4,0,0,2
7,N,0,3,0,0,2
8,O,0,2,0,0,2
9,F,0,1,0,0,2
10,Ne,0,0,0,0,2
11,Na,1,6,0,0,3
12,Mg,0,6,0,0,3
13,Al,0,5,0,0,3
14,Si,0,4,0,0,3
15,P,0,3,0,0,3
16,S,0,2,0,0,3
17,Cl,0,1,0,0,3
18,Ar,0,0,0,0,3
19,K,1,6,10,0,4
20,Ca,0,6,10,0,4
21,Sc,0,6,9,0,4
22,Ti,0,6,8,0,4
23,V,0,6,7,0,4
24,Cr,1,6,5,0,4
25,Mn,0,6,5,0,4
26,Fe,0,6,4,0,4
27,Co,0,6,3,0,4
28,Ni,0,6,2,0,4
29,Cu,1,6,0,0,4
30,Zn,0,6,0,0,4
31,Ga,0,5,0,0,4
32,Ge,0,4,0,0,4
33,As,0,3,0,0,4
34,Se,0,2,0,0,4
35,Br,0,1,0,0,4
36,Kr,0,0,0,0,4
37,Rb,1,6,10,0,5
38,Sr,0,6,10,0,5
39,Y,0,6,9,0,5
40,Zr,0,6,8,0,5
41,Nb,1,6,6,0,5
42,Mo,1,6,5,0,5
43,Tc,0,6,5,0,5
44,Ru,1,6,3,0,5
45,Rh,1,6,2,0,5
46,Pd,2,6,0,0,5
47,Ag,1,6,0,0,5
48,Cd,0,6,0,0,5
49,In,0,5,0,0,5
50,Sn,0,4,0,0,5
51,Sb,0,3,0,0,5
52,Te,0,2,0,0,5
53,I,0,1,0,0,5
54,Xe,0,0,0,0,5
55,Cs,1,6,10,14,6
56,Ba,0,6,10,14,6
57,La,0,6,9,14,6
58,Ce,0,6,9,13,6
59,Pr,0,6,10,11,6
60,Nd,0,6,10,10,6
61,Pm,0,6,10,9,6
62,Sm,0,6,10,8,6
63,Eu,0,6,10,7,6
64,Gd,0,6,9,7,6
65,Tb,0,6,10,5,6
66,Dy,0,6,10,4,6
67,Ho,0,6,10,3,6
68,Er,0,6,10,2,6
69,Tm,0,6,10,1,6
70,Yb,0,6,10,0,6
71,Lu,0,6,9,0,6
72,Hf,0,6,8,0,6
73,Ta,0,6,7,0,6
74,W,0,6,6,0,6
75,Re,0,6,5,0,6
76,Os,0,6,4,0,6
77,Ir,0,6,3,0,6
78,Pt,1,6,1,0,6
79,Au,1,6,0,0,6
80,Hg,0,6,0,0,6
81,Tl,0,5,0,0,6
82,Pb,0,4,0,0,6
83,Bi,0,3,0,0,6
84,Po,0,2,0,0,6
85,At,0,1,0,0,6
86,Rn,0,0,0,0,6
87,Fr,1,6,10,14,7
88,Ra,0,6,10,14,7
89,Ac,0,6,9,14,7
90,Th,0,6,8,14,7
91,Pa,0,6,9,12,7
92,U,0,6,9,11,7
93,Np,0,6,9,10,7
94,Pu,0,6,10,8,7
95,Am,0,6,10,7,7
96,Cm,0,6,9,7,7
97,Bk,0,6,10,5,7
98,Cf,0,6,10,4,7
99,Es,0,6,10,3,7
100,Fm,0,6,10,2,7
101,Md,0,6,10,1,7
102,No,0,6,10,0,7
103,Lr,0,5,10,0,7
104,Rf,0,6,8,0,7
105,Db,0,6,7,0,7
106,Sg,0,6,6,0,7
107,Bh,0,6,5,0,7
108,Hs,0,6,4,0,7
109,Mt,0,6,3,0,7
110,Ds,0,6,2,0,7
111,Rg,0,6,1,0,7
112,Cn,0,6,0,0,7
113,Nh,0,5,0,0,7
114,Fl,0,4,0,0,7
115,Mc,0,3,0,0,7
116,Lv,0,2,0,0,7
117,Ts,0,1,0,0,7
118,Og,0,0,0,0,7
